income,loan_amount,dti_ratio,credit_score,employment_years,num_open_accounts,home_ownership,loan_purpose,region_risk_index,age_group,gender,region,default,split
52448,29270,0.5586,622,10.3,7,MORTGAGE,home_improvement,0.5885,26-40,F,east,0,train
54594,20708,0.4345,813,5.9,7,OWN,debt_consolidation,0.4053,60+,F,south,1,train
62387,22722,0.4691,661,6.1,2,MORTGAGE,debt_consolidation,0.5869,60+,F,east,1,train
26063,5167,0.2532,702,1.5,7,MORTGAGE,debt_consolidation,0.8802,26-40,F,west,1,train
63115,15383,0.1954,665,12.8,4,MORTGAGE,medical,0.627,18-25,M,east,0,test
53000,26760,0.3083,543,17.5,6,RENT,medical,0.8086,18-25,M,west,1,train
56784,24541,0.4952,707,7.1,6,OWN,major_purchase,0.3187,26-40,F,north,0,validation
36954,6482,0.2252,798,2.3,5,RENT,major_purchase,0.8498,41-60,F,west,0,validation
37184,2454,0.0706,797,4.4,4,RENT,debt_consolidation,0.1699,41-60,M,north,0,validation
76906,12025,0.1122,772,6.3,3,RENT,debt_consolidation,0.732,60+,F,west,0,validation
47189,16444,0.3856,720,14.5,8,RENT,debt_consolidation,0.9146,60+,M,west,1,train
46483,12441,0.3705,698,5.7,3,MORTGAGE,debt_consolidation,0.211,18-25,F,north,1,train
22433,14226,0.4986,623,5.0,7,MORTGAGE,major_purchase,0.1561,41-60,M,north,1,train
50625,19743,0.2698,705,3.5,5,OWN,home_improvement,0.2847,18-25,F,north,0,train
19426,7411,0.2466,747,3.8,8,OWN,medical,0.2195,26-40,M,north,0,train
37942,19953,0.6562,711,1.4,5,MORTGAGE,small_business,0.3767,26-40,M,south,1,test
121057,70643,0.508,797,11.1,7,RENT,major_purchase,0.6441,18-25,M,east,0,train
104751,8255,0.0554,672,3.4,10,MORTGAGE,debt_consolidation,0.4223,41-60,M,south,0,test
26255,16928,0.4412,756,12.9,3,OWN,debt_consolidation,0.7789,60+,F,west,1,train
87602,56203,0.6918,649,4.3,5,OWN,small_business,0.5581,41-60,M,east,0,validation
40545,12037,0.2323,641,5.2,7,MORTGAGE,medical,0.2381,41-60,M,north,0,train
46451,28292,0.3138,648,8.4,10,RENT,home_improvement,0.1977,26-40,M,north,0,train
75168,15725,0.1092,753,7.5,4,MORTGAGE,medical,0.8415,18-25,F,west,0,train
38428,2135,0.0382,606,8.2,5,MORTGAGE,major_purchase,0.3177,41-60,M,north,0,train
22896,7470,0.4043,608,14.9,3,RENT,medical,0.83,41-60,M,west,1,train
51351,18097,0.2356,631,3.9,3,MORTGAGE,debt_consolidation,0.1174,41-60,M,north,0,train
35159,9733,0.3087,643,3.7,7,OWN,debt_consolidation,0.3421,41-60,F,south,0,test
91144,6547,0.0799,781,4.1,7,RENT,medical,0.0859,41-60,M,north,0,train
60451,33863,0.5375,719,9.6,3,MORTGAGE,small_business,0.5694,26-40,M,east,1,train
53184,20691,0.5111,759,9.7,4,RENT,debt_consolidation,0.8223,26-40,F,west,1,test
51280,24735,0.4117,592,1.3,4,RENT,home_improvement,0.3949,18-25,F,south,0,train
67196,4241,0.0669,671,11.9,6,MORTGAGE,medical,0.4442,41-60,M,south,0,train
49555,5740,0.0842,747,3.2,10,MORTGAGE,major_purchase,0.2057,18-25,F,north,0,validation
56261,6654,0.1012,741,3.8,4,RENT,medical,0.5478,26-40,F,east,1,train
27009,8170,0.1627,739,4.7,7,OWN,debt_consolidation,0.2201,60+,M,north,1,train
49205,1491,0.03,581,3.5,5,OWN,major_purchase,0.62,60+,M,east,1,train
40627,11517,0.1798,689,13.6,8,MORTGAGE,home_improvement,0.6142,18-25,M,east,0,test
47298,23278,0.6651,730,8.8,8,OWN,home_improvement,0.7746,18-25,F,west,0,train
77802,15191,0.2107,640,17.5,5,OWN,medical,0.5714,41-60,M,east,0,train
27490,6391,0.2887,728,5.4,4,RENT,home_improvement,0.1464,26-40,F,north,0,train
39272,17417,0.2788,630,2.3,5,MORTGAGE,major_purchase,0.251,60+,F,north,0,train
62229,37039,0.4251,703,1.6,8,RENT,medical,0.6042,18-25,F,east,1,test
40624,3735,0.058,689,4.8,4,MORTGAGE,medical,0.3832,41-60,M,south,0,train
23651,9666,0.4753,637,12.8,5,MORTGAGE,debt_consolidation,0.1147,41-60,F,north,0,train
80922,24082,0.3718,781,6.5,3,MORTGAGE,medical,0.6885,26-40,M,east,0,validation
